proCodigoProvincia,proNombre,L1,L2,L3,L4,L5,L6,L7,L8
"01","Ciudad Autónoma Bs.As.",0,0,0,0,0,0,0,0
"02","Buenos Aires",0,0,0,1,1,1,1,1
"03","Catamarca",1,1,1,1,1,1,1,1
"04","Córdoba",1,1,1,1,1,1,1,1
"05","Corrientes",1,1,1,1,1,1,1,1
"06","Chaco",1,1,1,1,1,1,1,1
"07","Chubut",1,1,1,1,1,1,1,1
"08","Entre Ríos",0,0,0,0,0,0,0,0
"09","Formosa",1,1,1,1,1,1,1,1
"10","Jujuy",0,0,0,0,0,0,0,0
"11","La Pampa",1,1,1,1,1,1,1,1
"12","La Rioja",0,0,0,0,0,0,0,0
"13","Mendoza",1,1,1,1,1,1,1,1
"14","Misiones",1,1,1,1,1,1,1,1
"15","Neuquén",0,0,0,0,0,0,0,0
"16","Río Negro",0,0,0,0,0,0,0,0
"17","Salta",1,1,1,1,1,1,1,1
"18","San Juan",1,1,1,1,1,1,1,1
"19","San Luis",1,1,1,1,1,1,1,1
"20","Santa Cruz",1,1,1,1,1,1,1,1
"21","Santa Fe",1,1,1,1,1,1,1,1
"22","Santiago del Estero",0,0,0,0,0,0,0,0
"23","Tucumán",1,1,1,1,1,1,1,1
"24","Tierra del Fuego",1,1,1,1,1,1,1,1
"99","Total País",0,0,0,0,0,0,0,0
