Identificador,Nombre,Codigo,NumPoligonos,Escenario,Escenario1
1,"Ciudad Autónoma Bs.As.",1,1,1,
2,"Buenos Aires",2,1,1,
3,"Catamarca",3,1,1,
4,"Córdoba",4,1,1,
5,"Corrientes",5,1,1,
6,"Chaco",6,1,1,
7,"Chubut",7,1,1,
8,"Entre Ríos",8,1,1,
9,"Formosa",9,1,1,
10,"Jujuy",10,1,1,
11,"La Pampa",11,1,1,
12,"La Rioja",12,1,1,
13,"Mendoza",13,1,1,
14,"Misiones",14,1,1,
15,"Neuquén",15,1,1,
16,"Río Negro",16,1,1,
17,"Salta",17,1,1,
18,"San Juan",18,1,1,
19,"San Luis",19,1,1,
20,"Santa Cruz",20,1,1,
21,"Santa Fe",21,1,1,
22,"Santiago del Estero",22,1,1,
23,"Tucumán",23,1,1,
24,"Tierra del Fuego",24,11,1,
